roc_auc,pr_auc,brier_score,accuracy,precision,recall,f1,threshold,business_score
0.842900875765326,0.653878092576806,0.13658931851387024,0.7927608232789212,0.6394557823129252,0.5026737967914439,0.562874251497006,0.4999999999999998,0.5505474917239623
0.842900875765326,0.653878092576806,0.13658931851387024,0.7906316536550745,0.6366782006920415,0.4919786096256685,0.555052790346908,0.5099999999999998,0.542623466498899
0.842900875765326,0.653878092576806,0.13658931851387024,0.7934705464868701,0.6476868327402135,0.48663101604278075,0.5557251908396946,0.5199999999999998,0.5430005518868822
0.842900875765326,0.653878092576806,0.13658931851387024,0.7934705464868701,0.654275092936803,0.47058823529411764,0.5474339035769828,0.5299999999999998,0.5348786354690576
0.842900875765326,0.653878092576806,0.13658931851387024,0.7970191625266146,0.6746031746031746,0.45454545454545453,0.5431309904153354,0.5399999999999998,0.5315656565656566
0.842900875765326,0.653878092576806,0.13658931851387024,0.7984386089425124,0.6844262295081968,0.446524064171123,0.540453074433657,0.5499999999999998,0.5297898220390989
0.842900875765326,0.653878092576806,0.13658931851387024,0.8005677785663591,0.7030567685589519,0.4304812834224599,0.5339966832504146,0.5599999999999997,0.5258827032202321
0.842900875765326,0.653878092576806,0.13658931851387024,0.8005677785663591,0.7123287671232876,0.41711229946524064,0.5261382799325464,0.5699999999999997,0.5204380631455571
0.842900875765326,0.653878092576806,0.13658931851387024,0.8005677785663591,0.7246376811594203,0.40106951871657753,0.5163511187607573,0.5799999999999997,0.5143183755715725
0.842900875765326,0.653878092576806,0.13658931851387024,0.7955997161107168,0.7193877551020408,0.3770053475935829,0.49473684210526314,0.5899999999999997,0.49683919022154316
0.842900875765326,0.653878092576806,0.13658931851387024,0.7955997161107168,0.7311827956989247,0.36363636363636365,0.4857142857142857,0.5999999999999998,0.49227761485826005
0.842900875765326,0.653878092576806,0.13658931851387024,0.7920511000709723,0.7341040462427746,0.339572192513369,0.4643510054844607,0.6099999999999998,0.4776583413186609
0.842900875765326,0.653878092576806,0.13658931851387024,0.7927608232789212,0.7530864197530864,0.32620320855614976,0.4552238805970149,0.6199999999999998,0.4756123324750776
0.842900875765326,0.653878092576806,0.13658931851387024,0.7899219304471257,0.75,0.31283422459893045,0.44150943396226416,0.6299999999999997,0.4658422459893048
0.842900875765326,0.653878092576806,0.13658931851387024,0.7892122072391767,0.7583892617449665,0.30213903743315507,0.4321223709369025,0.6399999999999997,0.461826615942289
0.842900875765326,0.653878092576806,0.13658931851387024,0.7892122072391767,0.7692307692307693,0.29411764705882354,0.425531914893617,0.6499999999999997,0.46040723981900455
0.842900875765326,0.653878092576806,0.13658931851387024,0.7863733144073811,0.762589928057554,0.28342245989304815,0.41325536062378165,0.6599999999999997,0.4511310737506252
0.842900875765326,0.653878092576806,0.13658931851387024,0.7885024840312278,0.7794117647058824,0.28342245989304815,0.41568627450980394,0.6699999999999997,0.4570187165775401
0.842900875765326,0.653878092576806,0.13658931851387024,0.78708303761533,0.7803030303030303,0.27540106951871657,0.40711462450592883,0.6799999999999997,0.45211675579322635
0.842900875765326,0.653878092576806,0.13658931851387024,0.7835344215755855,0.7804878048780488,0.25668449197860965,0.386317907444668,0.6899999999999997,0.4400156514934133
0.842900875765326,0.653878092576806,0.13658931851387024,0.7835344215755855,0.7899159663865546,0.25133689839572193,0.3813387423935091,0.6999999999999996,0.43983957219251335
